,AAAU,SPY,ISF.L,ESS,EEM,FXE,BofA
2019-12-24,14.96,299.739136,750.832825,252.898972,40.644302,101.909195,1409.81
2019-12-27,15.08,301.260071,752.530029,253.992142,41.100266,102.723793,1411.07
2019-12-30,15.11,299.599152,746.739685,253.975204,40.826694,102.946823,1411.36
2019-12-31,15.15,300.326965,742.946167,256.619324,40.917881,103.082588,1411.39
2020-01-02,15.25,303.13559,748.13739,254.418762,41.74773,102.64621,1413.29
2020-01-03,15.45,300.840057,750.733093,256.909241,40.972599,102.588028,1414.29
2020-01-06,15.62,301.987823,745.54187,255.885757,40.872284,102.849854,1415.42
2020-01-07,15.68,301.138733,745.441956,252.755371,40.844929,102.403778,1416.35
2020-01-08,15.56,302.743744,745.242004,254.214005,41.082027,102.103157,1416.39
2020-01-09,15.47,304.796478,747.238892,255.425201,41.355602,102.083748,1416.95
2020-01-10,15.57,303.919342,746.340332,257.932892,41.574471,102.171028,1417.96
2020-01-13,15.45,306.009613,749.43512,260.577057,42.221928,102.345581,1419.05
2020-01-14,15.44,305.54303,750.333557,257.438232,41.984825,102.22921,1420.18
2020-01-15,15.52,306.233459,752.230347,258.299622,41.656532,102.452278,1421.02
2020-01-16,15.49,308.780914,749.734619,261.029114,41.920998,102.345581,1421.89
2020-01-17,15.53,309.741974,755.025696,263.451447,42.158092,101.928596,1422.1
2020-01-21,15.55,309.135345,749.534912,265.694733,41.091145,101.870415,1421.73
2020-01-22,15.55,309.172729,745.142395,264.287445,41.428551,101.889816,1421.25
2020-01-23,15.59,309.527313,738.95282,266.556183,40.99995,101.579521,1418.26
2020-01-24,15.68,306.774689,747.039185,263.963287,40.671661,101.288582,1416.08
2020-01-27,15.79,301.857269,730.267578,263.511261,39.267307,101.210999,1407.36
2020-01-28,15.65,305.020508,736.656799,263.059113,39.595592,101.2304,1412.98
2020-01-29,15.73,304.768494,736.856323,258.871094,39.787098,101.104332,1414.52
2020-01-30,15.74,305.757629,727.272522,266.232056,39.194355,101.337059,1411.52
2020-01-31,15.83,300.205688,717.489014,264.210602,38.400982,101.860756,1411.45
2020-02-03,15.73,302.43576,721.881592,265.600952,38.829582,101.531013,1412.63
2020-02-04,15.51,307.045258,732.463684,265.762939,39.832691,101.395233,1415.39
2020-02-05,15.54,310.591034,736.057678,264.432373,40.060677,101.007355,1418.19
2020-02-06,15.63,311.636139,739.551819,268.458344,40.097149,100.803711,1420.64
2020-02-07,15.67,309.975189,735.458801,268.501007,39.540878,100.512779,1420.33
2020-02-10,15.69,312.289307,733.462036,270.676025,39.759743,100.192787,1420.65
2020-02-11,15.65,312.830475,738.054321,271.093933,40.279533,100.270363,1424.82
2020-02-12,15.63,314.846008,741.848022,272.245361,40.826694,99.863091,1426.42
2020-02-13,15.72,314.51001,735.75824,274.232819,40.288658,99.552773,1427.15
2020-02-14,15.79,315.013947,731.166077,276.501587,40.306896,99.504265,1427.35
2020-02-18,15.99,314.202148,728.270996,276.288422,40.042435,99.116364,1427.36
2020-02-19,16.09,315.704407,735.75824,274.335175,40.334255,99.232742,1428.9
2020-02-20,16.16,314.407379,734.859741,278.156372,39.705021,99.067894,1429.08
2020-02-21,16.4,311.169556,732.064514,280.647003,39.477047,99.601234,1428.24
2020-02-24,16.559999,300.849457,707.106506,277.900482,37.999729,99.601234,1417.92
2020-02-25,16.25,291.733154,692.63092,271.162201,37.698803,99.863091,1414.54
2020-02-26,16.32,290.660034,695.426331,270.334778,37.999729,99.882477,1411.77
2020-02-27,16.32,277.606018,675.559875,253.062576,37.087818,100.881271,1399.11
2020-02-28,15.73,276.439667,652.698364,241.692673,36.951031,101.337059,1389.09
2020-03-02,15.81,288.411285,660.585266,250.290451,37.753513,102.171028,1396.03
2020-03-03,16.309999,280.153351,667.173889,248.968369,37.498177,102.607399,1404.37
2020-03-04,16.34,291.929047,676.458313,258.33374,38.163872,102.219528,1411.61
2020-03-05,16.690001,282.224823,667.173889,253.395111,37.361385,103.053505,1403.2
2020-03-06,16.690001,277.559357,643.314148,251.330994,36.595375,103.751701,1383.25
2020-03-09,16.73,255.883591,593.298584,238.178467,34.096714,105.080246,1333.31
2020-03-10,16.4,269.124146,592.100525,250.904556,35.829361,103.68383,1337.71
2020-03-11,16.33,256.004822,584.114075,236.72847,34.160553,103.402588,1321.7
2020-03-12,15.67,231.510986,516.88385,224.079178,30.740839,102.607399,1278.05
2020-03-13,15.19,251.302002,528.265991,235.184616,32.956814,101.977081,1282.37
2020-03-16,15.04,223.803574,507.298981,190.779922,28.844051,102.510437,1237.61
2020-03-17,15.25,235.887177,519.180237,201.356537,30.832039,100.939484,1226.31
2020-03-18,14.93,223.943588,499.611084,175.921509,28.16923,100.008537,1183.48
2020-03-19,14.65,224.419434,507.698303,178.326843,28.38809,97.952705,1152.98
2020-03-20,14.86,214.74826,511.392517,167.46019,28.597832,97.846008,1147.08
2020-03-23,15.49,209.257553,492.023071,155.433563,27.913891,98.360001,1121.21
2020-03-24,16.360001,228.216934,536.153503,160.363632,30.011307,98.835144,1132.92
2020-03-25,16.120001,231.633408,560.515076,171.247284,31.069139,99.843681,1152.69
2020-03-26,16.4,245.158417,572.495972,186.540741,32.245518,101.395233,1191.63
2020-03-27,16.290001,237.856201,543.941101,194.98497,30.412548,101.977081,1208.84
2020-03-30,16.24,245.580841,548.433899,194.113846,30.914118,101.337059,1218.44
2020-03-31,15.72,241.920273,557.120239,189.577576,31.123856,101.14312,1226.17
2020-04-01,15.87,231.032669,535.853943,172.430878,29.792448,100.396423,1210.31
2020-04-02,16.18,236.363876,538.449707,167.39534,30.795559,99.504265,1206.53
2020-04-03,16.18,232.947403,532.259521,164.287933,30.211935,99.193947,1196.36
2020-04-06,16.65,248.593643,548.633789,183.009888,31.862511,99.009712,1201.0
2020-04-07,16.540001,248.847031,560.315186,184.748611,32.026646,99.998856,1216.87
2020-04-08,16.42,257.20047,558.61792,201.525131,32.354942,99.523666,1220.85
2020-04-09,16.790001,261.11438,573.694092,212.577545,32.236401,100.250969,1259.48
2020-04-14,17.25,266.361115,569.001465,217.449539,33.020645,100.716438,1289.41
2020-04-15,17.190001,260.701416,549.033142,211.234711,32.172562,100.018242,1282.51
2020-04-16,17.139999,261.959076,554.025269,211.776978,32.345825,99.436409,1283.5
