,BAMLHYH0A0HYM2TRIV,^BSESN,China_EQ,ISF.L,ESS,^GSPC,GOLD.AX
2010-01-25,694.91,16780.460938,3094.410889,523.479858,51.381596,1096.780029,118.349998
2010-01-27,694.77,16289.820313,2986.606934,518.800659,51.728565,1097.5,119.0
2010-01-28,694.92,16306.870117,2994.143066,512.13031,51.36269,1084.530029,118.019997
2010-01-29,695.2,16357.959961,2989.291992,516.411377,50.271332,1073.869995,118.68
2010-02-01,694.6,16356.030273,2941.360107,521.986389,51.091415,1089.189941,119.0
2010-02-02,695.15,16163.44043,2934.712891,525.57074,51.974575,1103.319946,122.470001
2010-02-03,695.94,16496.050781,3003.834961,523.579407,50.479507,1097.280029,122.769997
2010-02-04,694.88,16224.950195,2995.308105,512.229858,48.990746,1063.109985,122.980003
2010-02-05,691.09,15790.929688,2939.4021,504.762909,49.36293,1066.189941,120.0
2010-02-08,689.19,15935.610352,2935.174072,507.450867,49.123211,1056.73999,120.410004
2010-02-09,687.3,16042.179688,2948.842041,510.238464,49.36293,1070.52002,120.199997
2010-02-10,684.37,15922.169922,2982.5,513.225403,49.470169,1068.130005,120.059998
2010-02-11,682.88,16152.589844,2985.499023,515.714355,50.113598,1078.469971,118.610001
2010-02-22,694.95,16237.049805,3003.397949,534.929077,53.381351,1108.01001,121.900002
2010-02-23,694.79,16286.320313,2982.574951,531.842834,53.362423,1094.599976,120.809998
2010-02-24,695.06,16255.969727,3022.177002,532.241089,53.759869,1105.23999,120.800003
2010-02-25,694.91,16254.200195,3060.61792,525.271912,53.885994,1102.939941,119.879997
2010-02-26,695.81,16429.550781,3051.943115,532.738647,54.188805,1104.48999,121.559998
2010-03-02,700.09,16772.560547,3073.10791,545.681641,54.945835,1118.310059,121.129997
2010-03-03,701.33,17000.009766,3097.004883,551.057739,54.964741,1118.790039,122.379997
2010-03-04,702.5,16971.699219,3023.373047,550.758911,55.55143,1122.969971,122.860001
2010-03-05,704.24,16994.490234,3031.064941,557.927307,57.014969,1138.699951,122.809998
2010-03-08,706.84,17102.599609,3053.231934,558.524475,57.115898,1138.5,121.5
2010-03-09,708.47,17052.539063,3069.141113,557.827759,56.674294,1140.449951,120.199997
2010-03-10,710.09,17098.330078,3048.927002,562.905273,56.686932,1145.609985,119.900002
2010-03-11,709.88,17167.960938,3051.281982,560.515686,57.06543,1150.23999,118.220001
2010-03-12,710.84,17166.619141,3013.412109,561.013428,57.469154,1149.98999,118.620003
2010-03-15,711.02,17164.990234,2976.938965,557.72821,57.06543,1150.51001,117.849998
2010-03-16,711.4,17383.179688,2992.841064,561.013428,58.270344,1159.459961,118.760002
2010-03-17,712.73,17490.080078,3050.479004,563.403198,58.932701,1166.209961,119.489998
2010-03-18,713.9,17519.259766,3046.089111,563.104187,58.617275,1165.829956,118.800003
2010-03-19,714.35,17578.230469,3067.75,564.69696,58.144176,1159.900024,119.0
2010-03-22,714.3,17410.570313,3074.575928,563.502502,58.604675,1165.810059,118.260002
2010-03-23,714.87,17451.019531,3053.125,567.68396,57.891815,1174.170044,117.57
2010-03-25,715.68,17558.849609,3019.176025,572.562378,57.481804,1165.72998,116.660004
2010-03-26,716.74,17644.759766,3059.715088,569.973999,56.655388,1166.589966,117.349998
2010-03-29,717.77,17711.349609,3123.798096,570.770325,56.478619,1173.219971,118.980003
2010-03-30,718.1,17590.169922,3128.468018,567.086548,57.321022,1173.27002,117.989998
2010-03-31,718.0,17527.769531,3109.10498,567.285767,57.403988,1169.430054,118.0
2010-04-01,718.0,17692.619141,3147.416016,574.254761,57.984718,1178.099976,118.410004
2010-04-06,720.03,17941.369141,3158.680908,577.839233,61.264938,1189.439941,119.540001
2010-04-07,721.32,17970.019531,3148.221924,576.246094,60.575718,1182.449951,119.699997
2010-04-08,721.17,17714.400391,3118.708984,571.268311,60.658691,1186.439941,120.720001
2010-04-09,722.21,17933.140625,3145.346924,576.843201,62.362606,1194.369995,121.389999
2010-04-12,724.08,17853.0,3129.262939,577.639954,62.375359,1196.47998,121.93
2010-04-13,725.3,17821.960938,3161.250977,576.345581,64.219681,1197.300049,121.730003
2010-04-15,728.93,17639.259766,3164.966064,582.916504,62.164783,1211.670044,120.660004
2010-04-16,729.98,17591.179688,3130.302002,574.752625,61.488297,1192.130005,121.0
2010-04-19,729.03,17400.679688,2980.297119,573.159912,61.360664,1197.52002,120.519997
2010-04-20,730.16,17460.580078,2979.532959,579.13324,62.649769,1207.170044,119.650002
2010-04-21,731.42,17472.560547,3033.278076,573.159912,64.098442,1205.939941,119.660004
2010-04-22,731.7,17573.990234,2999.483887,567.485046,64.634514,1208.670044,120.669998
2010-04-23,732.18,17694.199219,2983.537109,573.159912,66.363953,1217.280029,120.68
2010-04-27,734.17,17690.619141,2907.927979,561.013428,65.604561,1183.709961,121.559998
2010-04-28,732.92,17380.080078,2900.331055,559.520081,66.370331,1191.359985,123.339996
2010-04-29,733.64,17503.470703,2868.431885,563.70166,70.046234,1206.780029,123.059998
2010-04-30,734.08,17558.710938,2870.611084,556.035461,67.53183,1186.689941,123.0
2010-05-04,733.32,17137.140625,2835.2771,542.893738,70.799301,1173.599976,125.07
2010-05-05,729.31,17087.960938,2857.150879,537.219055,70.199387,1165.869995,125.290001
2010-05-06,722.99,16987.529297,2739.701904,528.855957,67.065979,1128.150024,126.989998
2010-05-07,715.78,16769.109375,2688.383057,515.91333,65.445,1110.880005,131.910004
2010-05-10,720.28,17330.550781,2698.75708,542.595337,69.305962,1159.72998,129.429993
2010-05-11,718.24,17141.529297,2647.572998,537.418335,69.854782,1155.790039,131.399994
2010-05-12,721.91,17195.810547,2655.714111,542.097351,70.933334,1171.670044,135.110001
2010-05-13,723.47,17265.869141,2710.50708,548.070862,69.759048,1157.439941,134.270004
2010-05-14,720.74,16994.599609,2696.628906,531.146057,68.316795,1135.680054,135.300003
2010-05-17,719.4,16835.560547,2559.930908,530.84729,69.522949,1136.939941,137.919998
2010-05-18,719.18,16875.759766,2594.782959,536.024475,68.418884,1120.800049,136.929993
2010-05-19,715.2,16408.490234,2587.806885,522.185852,68.061485,1115.050049,138.289993
2010-05-20,708.29,16519.679688,2555.939941,512.826965,64.666428,1071.589966,138.800003
2010-05-21,706.32,16445.609375,2583.521973,512.628174,67.040443,1087.689941,138.399994
2010-05-24,707.37,16469.550781,2673.423096,513.225403,65.64283,1073.650024,140.25
2010-05-25,700.63,16022.480469,2622.629883,498.689789,65.75132,1074.030029,142.149994
2010-05-26,703.8,16387.839844,2625.792969,503.070435,65.795982,1067.949951,143.089996
2010-05-27,706.0,16666.400391,2655.917969,518.00415,68.699684,1103.060059,142.649994
2010-05-28,707.9,16863.060547,2655.76709,517.705566,67.155304,1089.410034,138.800003
2010-06-01,706.95,16572.029297,2568.282959,515.017517,65.113129,1070.709961,141.699997
2010-06-02,706.09,16741.839844,2571.423096,515.31604,65.910866,1098.380005,143.740005
2010-06-03,708.46,17022.330078,2552.656006,521.48877,65.502426,1102.829956,140.410004
2010-06-04,707.55,17117.689453,2553.593018,512.428833,61.737194,1064.880005,139.149994
2010-06-07,707.09,16781.070313,2511.729004,506.754028,62.266876,1050.469971,146.070007
2010-06-08,704.88,16617.099609,2513.947021,502.572601,63.339016,1062.0,147.149994
2010-06-09,704.59,16657.890625,2583.870117,508.844757,65.081223,1055.689941,146.910004
2010-06-10,703.55,16922.080078,2562.580078,513.225403,67.378677,1086.839966,143.0
2010-06-11,704.01,17064.949219,2569.940918,516.510986,68.004082,1091.599976,140.899994
